Commodity,Exporter,Destination,Tons,Year
RUBBER,32,122,0.299033207,2013
RUBBER,32,126,2.496703976,2013
RUBBER,32,128,0.060474054,2013
RUBBER,32,131,729.3448088,2013
RUBBER,32,133,0.204459704,2013
RUBBER,32,134,52.38951351,2013
RUBBER,32,136,0.095093284,2013
RUBBER,32,137,0.096676316,2013
RUBBER,32,138,47.39655904,2013
RUBBER,32,143,8.59607748,2013
RUBBER,32,144,0.09873738,2013
RUBBER,32,146,0.103062436,2013
RUBBER,32,147,0.499329034,2013
RUBBER,32,149,0.06096859,2013
RUBBER,32,150,31.6529246,2013
RUBBER,32,153,0.344552106,2013
RUBBER,32,154,1.164148484,2013
RUBBER,32,156,0.991749575,2013
RUBBER,32,157,0.025602846,2013
RUBBER,32,159,0.497788043,2013
RUBBER,32,162,15.21086595,2013
RUBBER,32,165,4.700105621,2013
RUBBER,32,167,434.8410891,2013
RUBBER,32,170,1.330041128,2013
RUBBER,32,171,0.06651396,2013
RUBBER,32,173,4021.330861,2013
RUBBER,32,174,79.39332076,2013
RUBBER,32,178,0.277401541,2013
RUBBER,32,179,0.680104551,2013
RUBBER,32,181,6.588804484,2013
RUBBER,32,183,467.4267082,2013
RUBBER,32,184,0.106776036,2013
RUBBER,32,185,321.1520594,2013
RUBBER,32,195,2.686201172,2013
RUBBER,32,198,2632.582014,2013
RUBBER,32,199,1133.983447,2013
RUBBER,32,200,2.065268991,2013
RUBBER,32,201,0.03114594,2013
RUBBER,32,202,119.458124,2013
RUBBER,32,203,4854.020903,2013
RUBBER,32,209,0.019747476,2013
RUBBER,32,210,61.14268856,2013
RUBBER,32,211,8.227283842,2013
RUBBER,32,212,0.028492512,2013
RUBBER,32,213,0.013941468,2013
RUBBER,32,214,10.93687017,2013
RUBBER,32,216,0.997527888,2013
RUBBER,32,220,0.070523609,2013
RUBBER,32,221,0.295814886,2013
RUBBER,32,222,26.54621525,2013
RUBBER,32,223,379.280416,2013
RUBBER,32,225,2.94173181,2013
RUBBER,32,229,940.331219,2013
RUBBER,32,230,13.0364352,2013
RUBBER,32,231,8783.18655,2013
RUBBER,32,233,0.225312145,2013
RUBBER,32,234,1.545118865,2013
RUBBER,32,235,0.054865742,2013
RUBBER,32,236,2.644520186,2013
RUBBER,32,237,16.01406396,2013
RUBBER,32,238,2.372396323,2013
RUBBER,32,249,0.279652548,2013
RUBBER,32,250,2.40490128,2013
RUBBER,32,251,1.776260211,2013
RUBBER,32,256,1301.836406,2013
RUBBER,32,272,58.70015442,2013
RUBBER,32,273,0.249699102,2013
RUBBER,37,11,0.060409181,2013
RUBBER,37,21,0.47592603,2013
RUBBER,37,27,0.03529947,2013
RUBBER,37,32,2.645155492,2013
RUBBER,37,33,0.438033346,2013
RUBBER,37,38,0.148787754,2013
RUBBER,37,41,3.056778098,2013
RUBBER,37,57,0.384980363,2013
RUBBER,37,59,0.381033145,2013
RUBBER,37,67,0.218574513,2013
RUBBER,37,68,2.592717398,2013
RUBBER,37,79,2.473524853,2013
RUBBER,37,97,0.108042556,2013
RUBBER,37,100,97.61239837,2013
RUBBER,37,102,0.232525619,2013
RUBBER,37,105,0.01906651,2013
RUBBER,37,106,1.83663454,2013
RUBBER,37,110,0.024005484,2013
RUBBER,37,117,0.052480978,2013
RUBBER,37,131,1.402748692,2013
RUBBER,37,134,0.024716431,2013
RUBBER,37,138,0.069628445,2013
RUBBER,37,149,0.022863758,2013
RUBBER,37,150,0.017526957,2013
RUBBER,37,165,0.063853897,2013
RUBBER,37,167,0.227117393,2013
RUBBER,37,173,1.827852178,2013
RUBBER,37,174,0.05416768,2013
RUBBER,37,179,0.020948126,2013
RUBBER,37,183,0.219113767,2013
RUBBER,37,185,0.161709798,2013
RUBBER,37,198,1.184695407,2013
RUBBER,37,199,0.534746418,2013
RUBBER,37,201,0.01433638,2013
RUBBER,37,202,0.069020869,2013
RUBBER,37,203,2.204357709,2013
RUBBER,37,210,0.030392415,2013
RUBBER,37,214,0.024051561,2013
RUBBER,37,222,0.017185838,2013
RUBBER,37,223,0.212672831,2013
RUBBER,37,225,0.014813314,2013
RUBBER,37,229,0.43491231,2013
RUBBER,37,230,0.010539844,2013
RUBBER,37,231,4.005827526,2013
RUBBER,37,237,0.070514018,2013
RUBBER,37,256,0.609622121,2013
RUBBER,37,272,0.031859017,2013
RUBBER,38,1,0.02144132,2013
RUBBER,38,3,0.139531844,2013
RUBBER,38,4,40.06125259,2013
RUBBER,38,9,80.48349593,2013
RUBBER,38,10,56.01554423,2013
RUBBER,38,11,41.39802798,2013
RUBBER,38,13,0.280223351,2013
RUBBER,38,16,94.75278996,2013
RUBBER,38,19,3.217362626,2013
RUBBER,38,20,0.735872121,2013
RUBBER,38,21,272.3590874,2013
RUBBER,38,27,42.57939525,2013
RUBBER,38,28,0.169036762,2013
RUBBER,38,33,84.4554529,2013
RUBBER,38,40,32.01752298,2013
RUBBER,38,41,3263.385044,2013
RUBBER,38,44,38.61459057,2013
RUBBER,38,48,11.83038416,2013
RUBBER,38,49,0.034444133,2013
RUBBER,38,52,1.182741235,2013
RUBBER,38,54,2.120381933,2013
RUBBER,38,56,2.123126613,2013
RUBBER,38,57,16.11055323,2013
RUBBER,38,58,2.268688476,2013
RUBBER,38,59,240.9052028,2013
RUBBER,38,60,0.092865954,2013
RUBBER,38,63,3.512859478,2013
RUBBER,38,67,43.88586544,2013
RUBBER,38,68,448.476766,2013
RUBBER,38,72,10.67996901,2013
RUBBER,38,73,0.019066475,2013
RUBBER,38,79,1649.607199,2013
RUBBER,38,80,0.429723048,2013
RUBBER,38,84,4.263096829,2013
RUBBER,38,89,5.330436616,2013
RUBBER,38,95,0.234358691,2013
