exporter,tons,year
9,286821.9438,1989
9,25.76129107,1989
9,25401.31662,1989
9,859.0560262,1989
9,216151.096,1989
9,45.22744983,1989
9,46.16362369,1989
9,38735.6879,1989
9,4333.063502,1989
9,3611.178456,1989
9,1280.013856,1989
9,13483.31831,1989
9,640.4215803,1989
9,0.365573976,1989
9,4106.685196,1989
9,0.036000531,1989
9,16.88828399,1989
9,8834.531256,1989
9,3.876084668,1989
9,425.4282894,1989
9,1725.285314,1989
9,11230.54566,1989
9,11.10529053,1989
9,1229.428373,1989
9,117.1912779,1989
9,755.929732,1989
9,27237.45855,1989
9,5759.140701,1989
9,0.025870159,1989
9,853.6081625,1989
9,39.10086748,1989
9,36.09858953,1989
9,337274.844,1989
9,15.69362381,1989
9,52.18074389,1989
9,3747.059012,1989
9,0.256733173,1989
9,0.148492285,1989
9,12.2549017,1989
9,2576.541724,1989
9,35573.68895,1989
9,11388.98556,1989
9,93.11957374,1989
9,41235.08563,1989
9,3347.432616,1989
9,251302.6946,1989
9,2171.679713,1989
9,32.34294709,1989
9,5.584375787,1989
9,8339.10434,1989
9,830.0797067,1989
9,1.345430692,1989
9,5005.768117,1989
9,1.316679382,1989
9,36.43239323,1989
9,1358.470876,1989
9,85.18153268,1989
9,28756.71445,1989
9,42645.0183,1989
9,79.28155052,1989
9,716.975802,1989
9,22728.0048,1989
9,12118.92844,1989
9,1837.591967,1989
9,407.8831591,1989
9,235.4003974,1989
9,1663.974625,1989
9,3.655084006,1989
9,4.811999245,1989
9,128.4806792,1989
9,74221.46179,1989
9,41645.65213,1989
9,1961.009991,1989
9,0.493440449,1989
9,1903930.951,1989
9,152912.845,1989
9,2666.881036,1989
9,0.184564601,1989
9,45845.55287,1989
9,4.446654071,1989
9,65973.99375,1989
9,258.9788593,1989
9,0.250934395,1989
9,3.227617301,1990
9,1429.629067,1990
9,1060.100655,1990
9,4820.86429,1990
9,20451.14311,1990
9,34150.74607,1990
9,853.7110835,1990
9,20.53995384,1990
9,5.509662937,1990
9,283635.732,1990
9,125318.3109,1990
9,316.988623,1990
9,2.099039508,1990
9,136.6652526,1990
9,4289.736993,1990
9,3.13543029,1990
9,180.4421926,1990
9,246485.0937,1990
9,5.533266667,1990
9,0.603968366,1990
9,806.8526563,1990
9,697.0657209,1990
9,329.6298012,1990
9,0.182223332,1990
9,74.75562832,1990
9,84262.56747,1990
9,129387.0278,1990
9,37227.02593,1990
9,39.96335193,1990
9,16.81696918,1990
9,33.43567188,1990
9,150688.8091,1990
9,31044.09606,1990
9,92503.67661,1990
9,557.5786371,1990
9,401986.526,1990
9,21451.62926,1990
9,4995.753327,1990
9,8248.754911,1990
9,9.722371497,1990
9,9.169253709,1990
9,251.2893995,1990
9,93.95834832,1990
9,1725.338645,1990
9,59248.43692,1990
9,322244.5227,1990
9,46.28208809,1990
9,90.53126853,1990
9,16732.51429,1990
9,112.898437,1990
9,117.4553129,1990
9,482.9765882,1990
9,4.486041875,1990
9,75784.99841,1990
9,1103.807292,1990
9,125.4363921,1990
9,23512.13873,1990
9,213.1013301,1990
9,3.997071153,1990
9,0.422233428,1990
9,38.04381113,1990
9,4297.422984,1990
9,2520.77607,1990
9,925.1550604,1990
9,348.8190967,1990
9,49452.87207,1990
9,682249.5853,1990
9,3682.469245,1990
9,38918.33611,1990
9,3619.539889,1990
9,504728.0506,1990
9,29.16899789,1990
9,23.05021529,1990
9,41221.35554,1990
9,6790.543975,1990
9,486.178346,1990
9,1725.806533,1990
9,31677.11564,1990
9,386.4405095,1990
9,0.981413633,1990
9,11614.02743,1990
9,3992.289018,1990
9,26609.09571,1990
9,15.71955038,1990
9,754.9738269,1990
9,218.2156592,1990
9,152481.5004,1990
9,22.47663898,1990
9,9523.36155,1990
9,128.674474,1990
9,33.73107246,1990
9,16863.36074,1990
9,56575.2359,1990
9,5087.558502,1990
9,1658.285614,1990
9,221.6518708,1990
9,792173.6373,1990
9,37.30750431,1990
9,78.40209915,1990
9,8180.573854,1990
9,536.8762626,1990
9,6.784631824,1990
9,62277.49283,1990
9,1499.20357,1990
9,20770.7062,1990
9,82.16417585,1990
9,70051.6598,1990
9,5613.80681,1990
9,155128.4528,1990
9,195710.5815,1990
9,326.2149199,1990
9,2925.00086,1990
9,0.916924109,1990
9,1700.642883,1990
9,1783.493152,1990
9,321801.2934,1990
9,0.728893326,1990
9,0.041718377,1990
9,1165.516365,1990
9,61.43923916,1990
9,0.674884511,1990
9,5754.129312,1990
9,56.4287452,1990
9,66504.01605,1990
9,475796.5491,1990
9,1226.080725,1990
9,39467.64718,1990
9,22371.07066,1990
9,1724.450392,1990
9,1200.485863,1990
9,5.132529569,1990
9,5803.509946,1990
9,38.25614558,1990
9,4.521887046,1990
9,128.0883362,1990
9,115724.4933,1990
9,30838.49829,1990
9,565.3391435,1990
9,759169.7374,1990
9,272588.35,1990
9,4462.020086,1990
9,17.56715782,1990
9,608.5109574,1990
9,77417.97234,1990
9,1.952662032,1990
9,5.231570033,1990
9,86596.96417,1990
9,325.3474571,1990
9,451.3740541,1990
9,1081.495321,1991
9,2135.667881,1991
9,11939.59095,1991
9,15736.26122,1991
9,165827.3368,1991
9,938.0500549,1991
9,51.20728367,1991
9,7.95925635,1991
9,380944.2243,1991
9,183044.3745,1991
9,207.0340055,1991
9,30.5697659,1991
