EXPORTER,YEAR,dfrs_risk,sum_soy_vol,dfrs_risk_per_ton,dfrs_risk_per_000ton
CHS,2014,273.9092263145478,244775.80423564086,0.0011190208410095173,1.1190208410095173
CHS,2015,1829.4262282567036,579456.5986709329,0.003157141073986828,3.157141073986828
CHS,2016,1286.0710846112918,467291.66866492596,0.0027521806418797424,2.7521806418797423
COAMO,2007,0,4093.170898740699,0,0
COAMO,2008,0,18048.43290964412,0,0
COAMO,2009,0,39555.84639962173,0,0
COAMO,2010,0,37773.00506305858,0,0
COAMO,2011,0,38420.86754003883,0,0
COAMO,2012,146.42840163966596,64928.29717410798,0.0022552324335106465,2.2552324335106464
COAMO,2013,0,47499.14409421706,0,0
COAMO,2015,0,27489.4151401153,0,0
COAMO,2016,0,28250.1967423024,0,0
COFCO,2015,1177.7792600024507,1710380.2962148758,6.886066581852659e-4,0.6886066581852659
COFCO,2016,559.9004325815406,1714243.6517411282,3.266165996956496e-4,0.3266165996956496
COOP DE ORLANDIA,2006,0,24630.6410000138,0,0
COOP DE ORLANDIA,2007,1.3350922333582664,65656.3260000472,2.033455593231499e-5,0.02033455593231499
COOP DE ORLANDIA,2008,2.527884355061973,8999.9999999995,2.8087603945134594e-4,0.2808760394513459
COOP DE ORLANDIA,2016,0,6140.964999999999,0,0
CUTRALE,2012,33.966224738871055,262612.9686025369,1.2933947976605348e-4,0.12933947976605348
CUTRALE,2013,0,387838.0511454301,0,0
CUTRALE,2014,202.6012354936825,575372.842854993,3.521216512207592e-4,0.35212165122075917
CUTRALE,2015,43.48095567855377,474752.441525127,9.158658676693182e-5,0.09158658676693182
CUTRALE,2016,0,591684.3082926086,0,0
ENGELHART,2014,192.8725349416614,282888.8685129571,6.817961270640356e-4,0.6817961270640357
ENGELHART,2015,96.46592593349858,632428.893575655,1.5253244580287152e-4,0.1525324458028715
ENGELHART,2016,79.57931449305167,763264.9311865417,1.0426171993693041e-4,0.10426171993693041
GAVILON,2013,18.595188212542467,12805.96641324953,0.001452072230433401,1.452072230433401
GAVILON,2014,55.72316827726452,77398.91258897031,7.199476893581748e-4,0.7199476893581748
GAVILON,2015,6.932593831901212,45493.713485876935,1.5238575400210768e-4,0.1523857540021077
